Time,Temperature_Interieur_Sud.mean,Temperature_Interieur_Nord.mean,Temperature_E4000.mean,Station_Meteo_Text
01/05/2022 00:00,23.4,22.2,23.6,12.3
01/05/2022 00:05,23.4,22.2,23.6,12.2
01/05/2022 00:10,23.4,22.2,23.5,12.5
01/05/2022 00:15,23.3,22.2,23.5,12.5
01/05/2022 00:20,23.3,22.2,23.5,12.1
01/05/2022 00:25,23.3,22.2,23.5,12
01/05/2022 00:30,23.3,22.2,23.5,11.9
01/05/2022 00:35,23.3,22.2,23.5,12.2
01/05/2022 00:40,23.3,22.2,23.5,12
01/05/2022 00:45,23.3,22.1,23.5,11.7
01/05/2022 00:50,23.2,22.1,23.4,11.6
01/05/2022 00:55,23.2,22.1,23.4,11.4
01/05/2022 01:00,23.2,22.1,23.4,11.3
01/05/2022 01:05,23.2,22.1,23.4,11.5
01/05/2022 01:10,23.2,22.1,23.4,11.5
01/05/2022 01:15,23.1,22.1,23.4,11.3
01/05/2022 01:20,23.1,22.1,23.4,11.2
01/05/2022 01:25,23.1,22.1,23.3,10.9
01/05/2022 01:30,23.1,22,23.4,10.8
01/05/2022 01:35,23,22,23.3,10.7
01/05/2022 01:40,23,22,23.3,10.8
01/05/2022 01:45,23,22,23.3,10.7
01/05/2022 01:50,23,22,23.3,10.6
01/05/2022 01:55,22.9,22,23.3,10.3
01/05/2022 02:00,22.9,22,23.3,10.4
01/05/2022 02:05,22.9,22,23.3,10.7
01/05/2022 02:10,22.9,22,23.3,10.6
01/05/2022 02:15,22.9,22,23.3,10.6
01/05/2022 02:20,22.8,22,23.3,10.3
01/05/2022 02:25,22.8,21.9,23.3,10.3
01/05/2022 02:30,22.8,21.9,23.2,10.1
01/05/2022 02:35,22.8,21.9,23.2,10.5
01/05/2022 02:40,22.8,21.9,23.2,10.4
01/05/2022 02:45,22.7,21.9,23.2,10.1
01/05/2022 02:50,22.7,21.9,23.2,10.1
01/05/2022 02:55,22.7,21.9,23.2,10
01/05/2022 03:00,22.7,21.9,23.1,10.2
01/05/2022 03:05,22.7,21.9,23.2,9.8
01/05/2022 03:10,22.6,21.8,23.1,9.7
01/05/2022 03:15,22.6,21.9,23.1,9.5
01/05/2022 03:20,22.6,21.8,23.1,9.5
01/05/2022 03:25,22.6,21.8,23.1,9.2
01/05/2022 03:30,22.6,21.8,23.1,9.2
01/05/2022 03:35,22.5,21.8,23.1,9.1
01/05/2022 03:40,22.5,21.8,23.1,9
01/05/2022 03:45,22.5,21.8,23.1,9.2
01/05/2022 03:50,22.5,21.8,23.1,9
01/05/2022 03:55,22.5,21.8,23.1,9.1
01/05/2022 04:00,22.4,21.8,23.1,9
01/05/2022 04:05,22.4,21.7,23.1,9
01/05/2022 04:10,22.4,21.7,23.1,8.9
01/05/2022 04:15,22.4,21.7,23.1,9
01/05/2022 04:20,22.3,21.7,23.1,9
01/05/2022 04:25,22.3,21.7,23.1,8.8
01/05/2022 04:30,22.3,21.7,23.1,8.8
01/05/2022 04:35,22.3,21.7,23.1,9
01/05/2022 04:40,22.3,21.6,23,9
01/05/2022 04:45,22.3,21.7,23.1,8.9
01/05/2022 04:50,22.3,21.6,23,8.7
01/05/2022 04:55,22.2,21.6,23,8.6
01/05/2022 05:00,22.2,21.6,23,8.5
01/05/2022 05:05,22.2,21.6,23,8.4
01/05/2022 05:10,22.2,21.6,23,8.4
01/05/2022 05:15,22.2,21.6,23,8.2
01/05/2022 05:20,22.2,21.6,23.1,8.1
01/05/2022 05:25,22.2,21.6,23.1,8.1
01/05/2022 05:30,22.2,21.5,23,8.1
01/05/2022 05:35,22.2,21.5,23,8.1
01/05/2022 05:40,22.1,21.5,23,8.3
01/05/2022 05:45,22.1,21.5,23,8
01/05/2022 05:50,22.1,21.5,23,8
01/05/2022 05:55,22.1,21.5,23,7.9
01/05/2022 06:00,22.1,21.5,23,7.8
01/05/2022 06:05,22.1,21.5,23,7.8
01/05/2022 06:10,22,21.5,23,7.8
01/05/2022 06:15,22,21.4,22.9,7.7
01/05/2022 06:20,22,21.4,22.9,8
01/05/2022 06:25,22,21.4,22.9,7.8
01/05/2022 06:30,21.9,21.4,22.9,7.7
01/05/2022 06:35,21.9,21.4,22.9,7.6
01/05/2022 06:40,21.9,21.4,22.9,7.6
01/05/2022 06:45,21.9,21.4,22.9,7.6
01/05/2022 06:50,21.9,21.4,22.9,7.8
01/05/2022 06:55,21.8,21.4,22.9,7.8
01/05/2022 07:00,21.8,21.4,22.9,8.2
01/05/2022 07:05,21.8,21.3,22.9,8.4
01/05/2022 07:10,21.8,21.3,22.9,8.4
01/05/2022 07:15,21.8,21.3,22.9,9.6
01/05/2022 07:20,21.8,21.3,22.9,10.3
01/05/2022 07:25,21.7,21.3,22.9,11
01/05/2022 07:30,21.7,21.3,22.9,11.2
01/05/2022 07:35,21.7,21.3,22.9,11.5
01/05/2022 07:40,21.7,21.3,22.9,10.3
01/05/2022 07:45,21.7,21.3,22.9,9.9
01/05/2022 07:50,21.7,21.3,22.9,9.9
01/05/2022 07:55,21.7,21.3,22.9,10.3
01/05/2022 08:00,21.6,21.2,22.9,10.7
01/05/2022 08:05,21.6,21.2,22.9,10.3
01/05/2022 08:10,21.6,21.2,22.9,10.5
01/05/2022 08:15,21.6,21.2,22.9,10.7
01/05/2022 08:20,21.6,21.2,22.9,10.7
01/05/2022 08:25,21.5,21.2,22.9,11.3
01/05/2022 08:30,21.5,21.2,22.9,10.7
