"Time","Temperature_Interieur_Sud.mean","Temperature_Interieur_Nord.mean","Temperature_E4000.mean","Station_Meteo_Text"
2022-05-01 00:00:00,23.4,22.2,23.6,12.3
2022-05-01 00:05:00,23.4,22.2,23.6,12.2
2022-05-01 00:10:00,23.4,22.2,23.5,12.5
2022-05-01 00:15:00,23.3,22.2,23.5,12.5
2022-05-01 00:20:00,23.3,22.2,23.5,12.1
2022-05-01 00:25:00,23.3,22.2,23.5,12
2022-05-01 00:30:00,23.3,22.2,23.5,11.9
2022-05-01 00:35:00,23.3,22.2,23.5,12.2
2022-05-01 00:40:00,23.3,22.2,23.5,12
2022-05-01 00:45:00,23.3,22.1,23.5,11.7
2022-05-01 00:50:00,23.2,22.1,23.4,11.6
2022-05-01 00:55:00,23.2,22.1,23.4,11.4
2022-05-01 01:00:00,23.2,22.1,23.4,11.3
2022-05-01 01:05:00,23.2,22.1,23.4,11.5
2022-05-01 01:10:00,23.2,22.1,23.4,11.5
2022-05-01 01:15:00,23.1,22.1,23.4,11.3
2022-05-01 01:20:00,23.1,22.1,23.4,11.2
2022-05-01 01:25:00,23.1,22.1,23.3,10.9
2022-05-01 01:30:00,23.1,22,23.4,10.8
2022-05-01 01:35:00,23,22,23.3,10.7
2022-05-01 01:40:00,23,22,23.3,10.8
2022-05-01 01:45:00,23,22,23.3,10.7
2022-05-01 01:50:00,23,22,23.3,10.6
2022-05-01 01:55:00,22.9,22,23.3,10.3
2022-05-01 02:00:00,22.9,22,23.3,10.4
2022-05-01 02:05:00,22.9,22,23.3,10.7
2022-05-01 02:10:00,22.9,22,23.3,10.6
2022-05-01 02:15:00,22.9,22,23.3,10.6
2022-05-01 02:20:00,22.8,22,23.3,10.3
2022-05-01 02:25:00,22.8,21.9,23.3,10.3
2022-05-01 02:30:00,22.8,21.9,23.2,10.1
2022-05-01 02:35:00,22.8,21.9,23.2,10.5
2022-05-01 02:40:00,22.8,21.9,23.2,10.4
2022-05-01 02:45:00,22.7,21.9,23.2,10.1
2022-05-01 02:50:00,22.7,21.9,23.2,10.1
2022-05-01 02:55:00,22.7,21.9,23.2,10
2022-05-01 03:00:00,22.7,21.9,23.1,10.2
2022-05-01 03:05:00,22.7,21.9,23.2,9.8
2022-05-01 03:10:00,22.6,21.8,23.1,9.7
2022-05-01 03:15:00,22.6,21.9,23.1,9.5
2022-05-01 03:20:00,22.6,21.8,23.1,9.5
2022-05-01 03:25:00,22.6,21.8,23.1,9.2
2022-05-01 03:30:00,22.6,21.8,23.1,9.2
2022-05-01 03:35:00,22.5,21.8,23.1,9.1
2022-05-01 03:40:00,22.5,21.8,23.1,9
2022-05-01 03:45:00,22.5,21.8,23.1,9.2
2022-05-01 03:50:00,22.5,21.8,23.1,9
2022-05-01 03:55:00,22.5,21.8,23.1,9.1
2022-05-01 04:00:00,22.4,21.8,23.1,9
2022-05-01 04:05:00,22.4,21.7,23.1,9
2022-05-01 04:10:00,22.4,21.7,23.1,8.9
2022-05-01 04:15:00,22.4,21.7,23.1,9
2022-05-01 04:20:00,22.3,21.7,23.1,9
2022-05-01 04:25:00,22.3,21.7,23.1,8.8
2022-05-01 04:30:00,22.3,21.7,23.1,8.8
2022-05-01 04:35:00,22.3,21.7,23.1,9
2022-05-01 04:40:00,22.3,21.6,23,9
2022-05-01 04:45:00,22.3,21.7,23.1,8.9
2022-05-01 04:50:00,22.3,21.6,23,8.7
2022-05-01 04:55:00,22.2,21.6,23,8.6
2022-05-01 05:00:00,22.2,21.6,23,8.5
2022-05-01 05:05:00,22.2,21.6,23,8.4
2022-05-01 05:10:00,22.2,21.6,23,8.4
2022-05-01 05:15:00,22.2,21.6,23,8.2
2022-05-01 05:20:00,22.2,21.6,23.1,8.1
2022-05-01 05:25:00,22.2,21.6,23.1,8.1
2022-05-01 05:30:00,22.2,21.5,23,8.1
