Time,temp_sud,temp_nord,temp_e4000,temp_station
01/05/2024 00:00,22.1,21.3,22.9,14.5
01/05/2024 00:05,22.1,21.3,22.9,14
01/05/2024 00:10,22.1,21.3,22.9,14.4
01/05/2024 00:15,22.1,21.3,22.9,14.7
01/05/2024 00:20,22.1,21.3,22.8,14.9
01/05/2024 00:25,22.1,21.3,22.9,14.8
01/05/2024 00:30,22.1,21.3,22.8,14.7
01/05/2024 00:35,22.1,21.3,22.8,14.5
01/05/2024 00:40,22.1,21.3,22.8,14.4
01/05/2024 00:45,22,21.3,22.8,14.5
01/05/2024 00:50,22,21.3,22.8,14.5
01/05/2024 00:55,22,21.3,22.8,14.7
01/05/2024 01:00,22,21.3,22.8,14.6
01/05/2024 01:05,22,21.3,22.8,14.8
01/05/2024 01:10,22,21.3,22.8,14.6
01/05/2024 01:15,22,21.3,22.8,14.3
01/05/2024 01:20,22,21.3,22.8,14
01/05/2024 01:25,22,21.3,22.8,13.6
01/05/2024 01:30,22,21.3,22.8,13.4
01/05/2024 01:35,22,21.3,22.8,13.4
01/05/2024 01:40,22,21.3,22.8,12.8
01/05/2024 01:45,22,21.2,22.8,12.9
01/05/2024 01:50,22,21.2,22.8,12.8
01/05/2024 01:55,22,21.2,22.8,12.7
01/05/2024 02:00,22,21.3,22.8,12.8
01/05/2024 02:05,22,21.3,22.8,12.5
01/05/2024 02:10,22,21.2,22.8,12.5
01/05/2024 02:15,22,21.3,22.8,12.4
01/05/2024 02:20,22,21.2,22.8,12.3
01/05/2024 02:25,21.9,21.2,22.8,12
01/05/2024 02:30,21.9,21.2,22.8,11.9
01/05/2024 02:35,21.9,21.2,22.7,11.9
01/05/2024 02:40,21.9,21.2,22.8,12.3
01/05/2024 02:45,21.9,21.2,22.7,12.2
01/05/2024 02:50,21.9,21.2,22.7,12.2
01/05/2024 02:55,21.9,21.2,22.7,12.3
01/05/2024 03:00,21.9,21.2,22.7,11.8
01/05/2024 03:05,21.9,21.2,22.7,11.9
01/05/2024 03:10,21.9,21.2,22.7,11.9
01/05/2024 03:15,21.9,21.2,22.7,11.7
01/05/2024 03:20,21.9,21.1,22.7,11.9
01/05/2024 03:25,21.8,21.2,22.7,11.7
01/05/2024 03:30,21.8,21.1,22.7,11.6
01/05/2024 03:35,21.8,21.1,22.7,12
01/05/2024 03:40,21.8,21.1,22.7,12
01/05/2024 03:45,21.8,21.1,22.7,11.7
01/05/2024 03:50,21.8,21.1,22.7,11.7
